s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 6.5057702E+000, 9.2362639E+000, 1.1273857E+000, 4.3873582E-001,-6.6869394E-001, 2.7843096E-001, 0.0000000E+000, 0.0000000E+000, 1.0382016E+001, 1.0412122E+001, 0.0000000E+000, 1.8953657E-004, 0.0000000E+000
 7.0033731E+000, 1.0932223E+001, 7.1114894E-001, 4.7931613E-001,-1.2886223E+000, 3.2799607E-001, 0.0000000E+000, 0.0000000E+000, 1.1142359E+001, 1.1162061E+001, 0.0000000E+000, 2.2341651E-004, 0.0000000E+000
 7.5108294E+000, 1.2922195E+001, 2.2345580E-001, 5.5094345E-001,-1.9659361E+000, 3.7945037E-001, 0.0000000E+000, 0.0000000E+000, 1.2085236E+001, 1.2110108E+001, 0.0000000E+000, 2.6017315E-004, 0.0000000E+000
 8.0010376E+000, 1.4647785E+001,-1.7864295E-001, 6.3070282E-001,-2.6312342E+000, 4.2408985E-001, 0.0000000E+000, 0.0000000E+000, 1.2862889E+001, 1.2892700E+001, 0.0000000E+000, 2.9947141E-004, 0.0000000E+000
 8.5026693E+000, 1.6767820E+001,-7.1381536E-001, 7.0961197E-001,-3.1894578E+000, 4.7989733E-001, 0.0000000E+000, 0.0000000E+000, 1.4020350E+001, 1.4054056E+001, 0.0000000E+000, 3.4126367E-004, 0.0000000E+000
 9.0019779E+000, 1.8950586E+001,-1.3186812E+000, 7.8233198E-001,-4.0067276E+000, 5.4642090E-001, 0.0000000E+000, 0.0000000E+000, 1.4936844E+001, 1.4953930E+001, 0.0000000E+000, 3.8619229E-004, 0.0000000E+000
 9.5006170E+000, 2.1460050E+001,-1.8455270E+000, 8.9337837E-001,-5.0538145E+000, 5.9613381E-001, 0.0000000E+000, 0.0000000E+000, 1.6007969E+001, 1.6050221E+001, 0.0000000E+000, 4.3377379E-004, 0.0000000E+000
 1.0000294E+001, 2.3620798E+001,-2.2830638E+000, 1.0079405E+000,-5.7856326E+000, 6.2730990E-001, 0.0000000E+000, 0.0000000E+000, 1.7170559E+001, 1.7187352E+001, 0.0000000E+000, 4.8412219E-004, 0.0000000E+000
 1.0508449E+001, 2.6315392E+001,-3.0030559E+000, 1.1404709E+000,-6.5458452E+000, 6.9810453E-001, 0.0000000E+000, 0.0000000E+000, 1.8573186E+001, 1.8605066E+001, 0.0000000E+000, 5.3780570E-004, 0.0000000E+000
 1.1004880E+001, 2.8980583E+001,-3.7356675E+000, 1.2225804E+000,-7.0543086E+000, 7.6994968E-001, 0.0000000E+000, 0.0000000E+000, 2.0154976E+001, 2.0183137E+001, 0.0000000E+000, 5.9409635E-004, 0.0000000E+000
 1.1503159E+001, 3.2906821E+001,-4.6836130E+000, 1.3766449E+000,-8.2180055E+000, 8.2478236E-001, 0.0000000E+000, 0.0000000E+000, 2.2144339E+001, 2.2206630E+001, 0.0000000E+000, 6.5257041E-004, 0.0000000E+000
 1.2000259E+001, 3.4893038E+001,-5.1233006E+000, 1.4576403E+000,-9.6890382E+000, 8.8597073E-001, 0.0000000E+000, 0.0000000E+000, 2.2389581E+001, 2.2424311E+001, 0.0000000E+000, 7.1385798E-004, 0.0000000E+000
 1.2505428E+001, 3.7984852E+001,-5.8682496E+000, 1.5978423E+000,-1.1020040E+001, 9.5401767E-001, 0.0000000E+000, 0.0000000E+000, 2.3660334E+001, 2.3648422E+001, 0.0000000E+000, 7.7836419E-004, 0.0000000E+000
 1.3005703E+001, 4.1276796E+001,-6.5789218E+000, 1.7894674E+000,-1.2116072E+001, 1.0135824E+000, 0.0000000E+000, 0.0000000E+000, 2.5349102E+001, 2.5384853E+001, 0.0000000E+000, 8.4583817E-004, 0.0000000E+000
 1.3501296E+001, 4.6151434E+001,-7.8039120E+000, 2.0093796E+000,-1.3283049E+001, 1.1096985E+000, 0.0000000E+000, 0.0000000E+000, 2.8139672E+001, 2.8183551E+001, 0.0000000E+000, 9.1550677E-004, 0.0000000E+000
 1.4000865E+001, 4.8947731E+001,-8.6188069E+000, 2.0472696E+000,-1.4271317E+001, 1.2080700E+000, 0.0000000E+000, 0.0000000E+000, 2.9214837E+001, 2.9312947E+001, 0.0000000E+000, 9.8783525E-004, 0.0000000E+000
