Output time [min],Output HRR from wood [kW],Output HRR inside enclosure [kW],Output HRR external to enclosure [kW],Output HRR total [kW],Output Gas Temp [DegC]
3.9675,0.0,450.0,0.0,450.0,186.15842311024397
3.9890625,0.0,450.0,0.0,450.0,186.63693552029946
4.010625,0.0,450.0,0.0,450.0,187.10889252705567
4.0321875,0.0,450.0,0.0,450.0,187.57452047594762
4.05375,0.0,450.0,0.0,450.0,188.0340325525711
4.0753125,0.0,450.0,0.0,450.0,188.48762982308932
4.096875,0.0,450.0,0.0,450.0,188.93550217530924
4.1184375,0.0,450.0,0.0,450.0,189.37782917114924
4.14,0.0,450.0,0.0,450.0,189.81478081996102
4.1615625,0.0,450.0,0.0,450.0,190.24651828106454
4.1831249999999995,0.0,450.0,0.0,450.0,190.67319450289045
4.2046875,0.0,450.0,0.0,450.0,191.09495480527727
4.226249999999999,0.0,450.0,0.0,450.0,191.5119374107283
4.247812499999999,0.0,450.0,0.0,450.0,191.92427392977982
4.269374999999999,0.0,450.0,0.0,450.0,192.33208980505935
4.2909375,0.0,450.0,0.0,450.0,192.73550471810677
4.3125,0.0,450.0,0.0,450.0,193.134632962586
4.3340625,0.0,450.0,0.0,450.0,193.52958378712293
4.355625,0.0,450.0,0.0,450.0,193.92046171065743
4.3771875,0.0,450.0,0.0,450.0,194.30736681289147
4.398750000000001,0.0,450.0,0.0,450.0,194.69039500214416
4.4203125,0.0,450.0,0.0,450.0,195.06963826268333
4.441875,0.0,450.0,0.0,450.0,195.44518488339105
4.4634374999999995,0.0,450.0,0.0,450.0,195.8171196694309
4.484999999999999,0.0,450.0,0.0,450.0,196.18552413841604
4.5065625,0.0,450.0,0.0,450.0,196.55047670242902
4.528125,0.0,450.0,0.0,450.0,196.91205283710883
4.5496875,0.0,450.0,0.0,450.0,197.27032523890387
4.57125,0.0,450.0,0.0,450.0,197.62536397148222
4.592812499999999,0.0,450.0,0.0,450.0,197.97723660219606
4.614375,0.0,450.0,0.0,450.0,198.32600832941273
4.6359375,0.0,450.0,0.0,450.0,198.67174210144827
4.6575,0.0,450.0,0.0,450.0,199.01449872777164
4.6790625,0.0,450.0,0.0,450.0,199.3543369830868
4.700625,0.0,450.0,0.0,450.0,199.69131370484462
4.7221875,0.0,450.0,0.0,450.0,200.02548388468762
4.74375,0.0,450.0,0.0,450.0,200.35690075428533
4.765312499999999,0.0,477.56249999999966,0.0,477.56249999999966,201.31923028132888
4.786874999999999,0.0,516.3749999999993,0.0,516.3749999999993,203.10068656156278
4.808437499999999,0.0,555.187499999999,0.0,555.187499999999,205.61149483906797
4.83,0.0,594.0000000000003,0.0,594.0000000000003,208.7736273099418
4.8515625,0.0,632.8125,0.0,632.8125,212.5189234001141
4.873125,0.0,671.6249999999997,0.0,671.6249999999997,216.78752023149156
4.8946875,0.0,710.4374999999993,0.0,710.4374999999993,221.52656414030406
4.91625,0.0,749.249999999999,0.0,749.249999999999,226.6891567161008
4.937812500000001,0.0,788.0625000000003,0.0,788.0625000000003,232.23349115508154
4.959375,0.0,826.875,0.0,826.875,238.1221417861529
4.9809375,0.0,865.6874999999997,0.0,865.6874999999997,244.3214768656659
5.0024999999999995,0.0,900.0,0.0,900.0,250.69755856568804
5.024062499999999,0.0,900.0,0.0,900.0,256.44526208892046
5.045625,0.0,900.0,0.0,900.0,261.6474867397311
5.0671875,0.0,900.0,0.0,900.0,266.3760591405098
5.08875,0.0,900.0,0.0,900.0,270.6929095882542
5.1103125,0.0,900.0,0.0,900.0,274.65129737007135
5.131874999999999,0.0,900.0,0.0,900.0,278.2969639915847
5.1534375,0.0,900.0,0.0,900.0,281.66917374143975
5.175,0.0,900.0,0.0,900.0,284.8016326207809
5.1965625,0.0,900.0,0.0,900.0,287.7232896732012
5.218125,0.0,900.0,0.0,900.0,290.45903005048774
5.2396875,0.0,900.0,0.0,900.0,293.0302710195041
5.26125,0.0,900.0,0.0,900.0,295.4554723740433
5.2828125,0.0,900.0,0.0,900.0,297.75057219885855
